LineId,Content,EventId
0,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),195
1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),195
2,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),195
3,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),195
4,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),195
5,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),195
6,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),195
7,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),195
8,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),195
9,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),195
10,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),195
11,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),195
12,clusterAddMember  (command 1902),1115
13,clusterAddMember  (command 1900),1115
14,risBoot  (command 1903),1115
15,bootGenvmunix  (command 1903),1115
16,boot  (command 1911),1115
17,boot  (command 1910),1115
18,boot  (command 1978),1115
19,boot  (command 1967),1115
20,wait  (command 1975),1115
21,boot  (command 1999),1115
22,halt  (command 1982),1115
23,boot  (command 1981),1115
24,boot  (command 1973),1115
25,wait  (command 1973),1115
26,wait  (command 2057),1115
27,boot  (command 2152),1115
28,wait  (command 2154),1115
29,boot  (command 2141),1115
30,boot  (command 2110),1115
31,boot  (command 2160),1115
32,halt  (command 2221),1115
33,wait  (command 2217),1115
34,wait  (command 2217),1115
35,wait  (command 2201),1115
36,wait  (command 2199),1115
37,boot  (command 2183),1115
38,wait  (command 2189),1115
39,wait  (command 2302),1115
40,wait  (command 2270),1115
41,wait  (command 2257),1115
42,boot  (command 2257),1115
43,boot  (command 2316),1115
44,boot  (command 2316),1115
45,wait  (command 2322),1115
46,wait  (command 2354),1115
47,wait  (command 2347),1115
48,boot  (command 2368),1115
49,boot  (command 2392),1115
50,boot  (command 2406),1115
51,boot  (command 2417),1115
52,boot  (command 2423),1115
53,wait  (command 2424),1115
54,wait  (command 2449),1115
55,boot  (command 2464),1115
56,wait  (command 2468),1115
57,boot  (command 2520),1115
58,wait  (command 2517),1115
59,boot  (command 2517),1115
60,wait  (command 2511),1115
61,wait  (command 2513),1115
62,boot  (command 2514),1115
63,wait  (command 2484),1115
64,boot  (command 2625),1115
65,wait  (command 2607),1115
66,boot  (command 2616),1115
67,boot  (command 2619),1115
68,boot  (command 2616),1115
69,boot  (command 2616),1115
70,boot  (command 2602),1115
71,wait  (command 2582),1115
72,boot  (command 2584),1115
73,wait  (command 2549),1115
74,boot  (command 2550),1115
75,boot  (command 2548),1115
76,boot  (command 2538),1115
77,wait  (command 2683),1115
78,boot  (command 2686),1115
79,wait  (command 2682),1115
80,wait  (command 2763),1115
81,wait  (command 2800),1115
82,boot  (command 2790),1115
83,wait  (command 2817),1115
84,wait  (command 2823),1115
85,wait  (command 2817),1115
86,wait  (command 2900),1115
87,wait  (command 2885),1115
88,wait  (command 2909),1115
89,boot  (command 2960),1115
90,wait  (command 2963),1115
91,boot  (command 2999),1115
92,halt  (command 2992),1115
93,wait  (command 3087),1115
94,wait  (command 3079),1115
95,wait  (command 3078),1115
96,wait  (command 3141),1115
97,boot  (command 3138),1115
98,boot  (command 3169),1115
99,boot  (command 3169),1115
100,boot  (command 3194),1115
101,boot  (command 3320),1115
102,boot  (command 3318),1115
103,boot  (command 3317),1115
104,wait  (command 3319),1115
105,wait  (command 3334),1115
106,boot  (command 3334),1115
107,wait  (command 3412),1115
108,boot  (command 3413),1115
109,boot  (command 3473),1115
110,wait  (command 3523),1115
111,wait  (command 3525),1115
112,wait  (command 3519),1115
113,boot  (command 3519),1115
114,boot  (command 3512),1115
115,boot  (command 3579),1115
116,boot  (command 3572),1115
117,boot  (command 3580),1115
118,wait  (command 3612),1115
119,boot  (command 3615),1115
120,wait  (command 3609),1115
121,boot  (command 3624),1115
